station_id,station_lat,station_lon,label_source,nearest_location_id,nearest_location_name,nearest_location_lat,nearest_location_lon,distance_km,display_label
STATION_00,28.63,77.21,reverse_geocode_area,,,,,,"Lat 28.6300, Lon 77.2100"
STATION_01,28.59,77.07,reverse_geocode_area,,,,,,"Lat 28.5900, Lon 77.0700"
STATION_02,28.67,77.12,reverse_geocode_area,,,,,,"Lat 28.6700, Lon 77.1200"
STATION_03,28.55,77.19,reverse_geocode_area,,,,,,"Lat 28.5500, Lon 77.1900"
STATION_04,28.62,77.28,reverse_geocode_area,,,,,,"Lat 28.6200, Lon 77.2800"
STATION_05,28.53,77.24,reverse_geocode_area,,,,,,"Lat 28.5300, Lon 77.2400"
STATION_06,28.65,77.15,reverse_geocode_area,,,,,,"Lat 28.6500, Lon 77.1500"
STATION_07,28.75,77.11,reverse_geocode_area,,,,,,"Lat 28.7500, Lon 77.1100"
STATION_08,28.58,77.31,reverse_geocode_area,,,,,,"Lat 28.5800, Lon 77.3100"
STATION_09,28.61,77.1,reverse_geocode_area,,,,,,"Lat 28.6100, Lon 77.1000"
STATION_10,28.56236203565421,77.14301794076057,reverse_geocode_area,,,,,,"Lat 28.5624, Lon 77.1430"
STATION_11,28.735214291922976,76.96820964947491,reverse_geocode_area,,,,,,"Lat 28.7352, Lon 76.9682"
STATION_12,28.669598182543425,76.9260206371941,reverse_geocode_area,,,,,,"Lat 28.6696, Lon 76.9260"
STATION_13,28.629597545259116,77.27955421490132,reverse_geocode_area,,,,,,"Lat 28.6296, Lon 77.2796"
STATION_14,28.49680559213273,77.28625281322982,reverse_geocode_area,,,,,,"Lat 28.4968, Lon 77.2863"
STATION_15,28.49679835610086,77.22335893924658,reverse_geocode_area,,,,,,"Lat 28.4968, Lon 77.2234"
STATION_16,28.46742508365046,77.02184550766934,reverse_geocode_area,,,,,,"Lat 28.4674, Lon 77.0218"
STATION_17,28.70985284373248,76.93906884560255,reverse_geocode_area,,,,,,"Lat 28.7099, Lon 76.9391"
STATION_18,28.630334503522963,77.17369321060485,reverse_geocode_area,,,,,,"Lat 28.6303, Lon 77.1737"
STATION_19,28.662421773338814,77.07606099749583,reverse_geocode_area,,,,,,"Lat 28.6624, Lon 77.0761"
STATION_20,28.456175348288745,76.94881529393791,reverse_geocode_area,,,,,,"Lat 28.4562, Lon 76.9488"
STATION_21,28.7409729556486,77.09807076404451,reverse_geocode_area,,,,,,"Lat 28.7410, Lon 77.0981"
STATION_22,28.699732792240127,76.91375540844608,reverse_geocode_area,,,,,,"Lat 28.6997, Lon 76.9138"
STATION_23,28.513701733203483,77.2637281608315,reverse_geocode_area,,,,,,"Lat 28.5137, Lon 77.2637"
STATION_24,28.50454749016213,77.00351199264,reverse_geocode_area,,,,,,"Lat 28.5045, Lon 77.0035"
STATION_25,28.50502135295603,77.16500891374159,reverse_geocode_area,,,,,,"Lat 28.5050, Lon 77.1650"
STATION_26,28.541272672887864,77.02468443043576,reverse_geocode_area,,,,,,"Lat 28.5413, Lon 77.0247"
STATION_27,28.607426929489677,77.10802720847111,reverse_geocode_area,,,,,,"Lat 28.6074, Lon 77.1080"
STATION_28,28.57958350559264,77.11868411173731,reverse_geocode_area,,,,,,"Lat 28.5796, Lon 77.1187"
STATION_29,28.537368742059414,76.9739417822102,reverse_geocode_area,,,,,,"Lat 28.5374, Lon 76.9739"
STATION_30,28.633555868416718,77.28783385110582,reverse_geocode_area,,,,,,"Lat 28.6336, Lon 77.2878"
STATION_31,28.49184815819561,77.21005312934444,reverse_geocode_area,,,,,,"Lat 28.4918, Lon 77.2101"
STATION_32,28.53764339456057,77.27579957662567,reverse_geocode_area,,,,,,"Lat 28.5376, Lon 77.2758"
STATION_33,28.55990855298811,77.25793094017105,reverse_geocode_area,,,,,,"Lat 28.5599, Lon 77.2579"
STATION_34,28.58682099526511,77.13915999152442,reverse_geocode_area,,,,,,"Lat 28.5868, Lon 77.1392"
STATION_35,28.685552788417905,77.26874969400924,reverse_geocode_area,,,,,,"Lat 28.6856, Lon 77.2687"
STATION_36,28.509902134647508,76.93539700082076,reverse_geocode_area,,,,,,"Lat 28.5099, Lon 76.9354"
STATION_37,28.604270331524084,76.97839314496765,reverse_geocode_area,,,,,,"Lat 28.6043, Lon 76.9784"
STATION_38,28.627724370658616,76.9180909155642,reverse_geocode_area,,,,,,"Lat 28.6277, Lon 76.9181"
STATION_39,28.463935123816,77.0301321323053,reverse_geocode_area,,,,,,"Lat 28.4639, Lon 77.0301"
